title,url,datetime,region,content,country,region_new,region_clean,Id,vader_neg,vader_neu,vader_pos,vader_compound,roberta_neg,roberta_neu,roberta_pos,vader_predict,roberta_predict
"UN chief urges action following execution, abduction of civilians in Nigeria",https://news.un.org/en/story/2019/12/1054271,2019-12-24 12:00:00+00:00,Africa,"Those responsible for the recent execution and abduction of civilians in northeastern Nigeria must be held accountable, the UN Secretary-General has said, according to a statement issued on Tuesday by his spokesperson.",NG,Africa,Africa,11,0.275,0.725,0.0,-0.5859,0.55793357,0.4350697,0.0069967196,negative,negative
"Amidst uptick in violence and displacement, UN chief calls for ‘immediate cessation of hostilities’ in Syria",https://news.un.org/en/story/2019/12/1054241,2019-12-24 12:00:00+00:00,Middle East,"“Deeply concerned” over a recent military escalation in northwest Syria, Secretary-General António Guterres called for an “immediate cessation of hostilities”.",SY,Middle East,Middle East,12,0.215,0.785,0.0,-0.6249,0.38218412,0.60297805,0.0148378145,negative,neutral
UN relief chief condemns attacks against humanitarian premises in Yemen,https://news.un.org/en/story/2019/12/1054211,2019-12-23 12:00:00+00:00,Middle East,"The top UN humanitarian official has called for a thorough investigation into weekend attacks against the premises of three international aid organizations in Yemen that wounded one person, in addition to damaging property.",YE,Middle East,Middle East,13,0.38,0.429,0.19,-0.4767,0.6852296,0.30879223,0.005978183,negative,negative
Afghan President leads election; UN mission chief urges all to ‘safeguard’ final stage of process,https://news.un.org/en/story/2019/12/1054171,2019-12-22 12:00:00+00:00,Middle East,"Welcoming the preliminary results for Afghanistan’s presidential election on Sunday, the head of the United Nations mission in the country urged the authorities and all actors to “protect the integrity of the final stage of the process.”",Afghanistan,Asia Pacific,Middle East,14,0.0,1.0,0.0,0.0,0.040143564,0.90151346,0.058342967,neutral,neutral
"Friday’s Daily Brief: Pope Francis, Lesotho, Iran, world corruption",https://news.un.org/en/story/2019/12/1054141,2019-12-20 12:00:00+00:00,Global,"Our top stories for Friday include: Pope Francis receives the UN chief in Rome, Lesotho famine threat, concern for jailed Iranian protestors, and strengthened global action to prevent corruption.",Lesotho,Africa,Global,15,0.0,1.0,0.0,0.0,0.3224091,0.65231353,0.025277315,neutral,neutral
Top Criminal Court to conduct official probe into alleged war crimes in Palestine,https://news.un.org/en/story/2019/12/1054121,2019-12-20 12:00:00+00:00,Middle East,"Following a “thorough, independent and objective assessment”, the Prosecutor of the International Criminal Court (ICC) announced on Friday that she plans to open a formal investigation into alleged war crimes in Palestine, but asked the Court for a further ruling over territorial jurisdiction.",Palestine,Middle East,Middle East,16,0.382,0.524,0.094,-0.7579,0.4291106,0.56148773,0.009401696,negative,neutral
"Syria: Lack of consensus following face-to-face talks, underscores need for broader process",https://news.un.org/en/story/2019/12/1054131,2019-12-20 12:00:00+00:00,,"The second session of the Syrian Constitutional Committee, aiming to create a new post-war political road map for the country, failed to get off the ground due to lack of consensus over the agenda, the UN Special Envoy for the country told the Security Council on Friday.",SY,Middle East,Middle East,17,0.173,0.827,0.0,-0.3182,0.5197001,0.4645915,0.015708422,negative,negative
"Stand for peace and harmony says Guterres, following meeting with Pope Francis",https://news.un.org/en/story/2019/12/1054091,2019-12-20 12:00:00+00:00,Global,"In the midst of “turbulent and trying times”, all the world’s people must stand together in peace and harmony, the UN Secretary-General said on Friday. António Guterres was speaking following an audience with Pope Francis at the Vatican, who he thanked for his strong support for the global Organization.",Unknown,Unknown,Global,18,0.0,0.617,0.383,0.7351,0.0056472267,0.49870315,0.4956496,positive,neutral
Iran and US both undermining nuclear deal says UN political affairs chief,https://news.un.org/en/story/2019/12/1054071,2019-12-19 12:00:00+00:00,Asia Pacific,"Both Iran and the United States have been putting strain on the groundbreaking 2015 deal to monitor Iran’s nuclear programme, which remains a “cornerstone of international peace and security”, said the UN’s political affairs chief on Thursday.",Iran,Middle East,Asia Pacific,19,0.185,0.815,0.0,-0.3612,0.5220594,0.47067574,0.007264876,negative,negative
Tolerance key to tackling violent extremism: UN counter-terrorism chief,https://news.un.org/en/story/2019/12/1054061,2019-12-19 12:00:00+00:00,Middle East,The head of the UN Counter-Terrorism Office (UNOCT) has highlighted the importance of tolerance in combating the “corrosive spread” of violent extremism.,Unknown,Unknown,Middle East,20,0.298,0.534,0.168,-0.4019,0.17428029,0.7707889,0.054930855,negative,neutral
Life for civilians in Syria ‘worse than when the year began’,https://news.un.org/en/story/2019/12/1054041,2019-12-19 12:00:00+00:00,Middle East,"The humanitarian situation facing civilians in many parts of Syria is “worse than when the year began”, the UN deputy Emergency Relief Coordinator told the Security Council on Thursday.",SY,Middle East,Middle East,21,0.0,1.0,0.0,0.0,0.90216684,0.092182934,0.005650137,neutral,negative
Only ‘concrete action’ will stop fraying of Israel-Palestine peace prospects,https://news.un.org/en/story/2019/12/1053841,2019-12-18 12:00:00+00:00,Middle East,"Obstacles to any lasting deal between Israel and Palestine continue to mount, the UN’s Special Coordinator for the Middle East Peace Process told Security Council members on Wednesday, and only “concrete action” towards a two-State solution will change that dynamic.",Palestine,Middle East,Middle East,22,0.148,0.47,0.383,0.5423,0.27804255,0.68003017,0.04192729,positive,neutral
"‘New and dangerous’ global risks require multilateral solutions, Guterres tells Italian Senate",https://news.un.org/en/story/2019/12/1053811,2019-12-18 12:00:00+00:00,Global,"Shifting balances of power are triggering “new and dangerous risks”, the UN chief told the Italian Senate in Rome on Wednesday, pointing to the need for more coordinated international responses, focused on solutions.",Unknown,Unknown,Global,23,0.152,0.725,0.123,-0.1027,0.41748303,0.55746675,0.025050238,negative,neutral
"South Sudan: political will needed to form a unified government, on the road to peace",https://news.un.org/en/story/2019/12/1053751,2019-12-17 12:00:00+00:00,Africa,"Extending the deadline for the establishment of a unity government in South Sudan has helped maintain a ceasefire but also disillusioned many  citizens, the Security Council heard on Tuesday.",South Sudan,Africa,Africa,24,0.0,0.663,0.337,0.7269,0.045526903,0.7699969,0.18447618,positive,neutral
Nine children killed or maimed in Afghanistan every day: UN Children’s Fund,https://news.un.org/en/story/2019/12/1053661,2019-12-16 12:00:00+00:00,Middle East,"An average of nine children have been killed or maimed every day in Afghanistan so far this year, according to a new report from the UN Children’s Fund, UNICEF, which describes the country as “the world’s most lethal warzone”.",Afghanistan,Asia Pacific,Middle East,25,0.29,0.71,0.0,-0.6705,0.8439433,0.15104452,0.0050121937,negative,negative
Peace will be ‘paramount’ issue for incoming Afghan Government: UN mission chief,https://news.un.org/en/story/2019/12/1053621,2019-12-16 12:00:00+00:00,Asia Pacific,"The search for peace will remain of “paramount importance” to Afghanistan as the country awaits the outcome of the recent presidential election, the top UN official in the country told the Security Council on Monday.",Afghanistan,Asia Pacific,Asia Pacific,26,0.0,0.759,0.241,0.5423,0.048521776,0.8924478,0.059030414,positive,neutral
"West Africa ‘shaken by unprecedented violence’, UN envoy tells Security Council",https://news.un.org/en/story/2019/12/1053641,2019-12-16 12:00:00+00:00,Africa,"The UN envoy for West Africa and the vast Sahel region, told the Security Council on Monday that in recent months, the region has been “shaken by unprecedented violence”.",Unknown,Africa,Africa,27,0.0,0.806,0.194,0.34,0.60362214,0.3851361,0.011241731,positive,negative
"Friday’s Daily Brief:  Yemen exclusive, India rights, Chile, Ebola updates",https://news.un.org/en/story/2019/12/1053541,2019-12-13 12:00:00+00:00,,"Our top stories for Friday include an exclusive UN News interview with Yemen Envoy Martin Griffiths; India’s new “discriminatory” citizenship law; a milestone smallpox eradication anniversary; helicopters deployed in DR Congo Ebola fight; Mediterranean migrant latest, and Chile’s deadly protests: UN report finds clear pattern of repression.",YE,Middle East,Middle East,28,0.0,0.857,0.143,0.128,0.09692022,0.86473596,0.038343895,positive,neutral
‘Air bridge’ vaccination operation begins for Ebola-hit communities in DR Congo,https://news.un.org/en/story/2019/12/1053451,2019-12-13 12:00:00+00:00,Africa,"The Democratic Republic of the Congo (DRC) has seen an increase in the number of reported cases of the deadly haemorrhagic virus Ebola linked to ongoing violence by armed groups targeting remote communities, the World Health Organization (WHO) said on Friday.",CD,Africa,Africa,29,0.0,1.0,0.0,0.0,0.15258422,0.8016856,0.045730118,neutral,neutral
"A year on from Yemen talks breakthrough, top UN Envoy hails ‘shift’ towards peace, despite setbacks",https://news.un.org/en/story/2019/12/1053431,2019-12-13 12:00:00+00:00,Middle East,"When warring parties in Yemen met in a renovated castle outside the Swedish capital last December for UN-brokered talks, they showed that perhaps there could be a way out of brutal conflict and the world’s worst humanitarian crisis, the UN Special Envoy for the country said this week.",YE,Middle East,Middle East,30,0.0,0.71,0.29,0.6486,0.014002505,0.6674348,0.31856266,positive,neutral
Unprecedented humanitarian crisis in Mali revealed in new report,https://news.un.org/en/story/2019/12/1053391,2019-12-12 12:00:00+00:00,Africa,"Escalating violence and insecurity in Mali have sparked an unprecedented humanitarian crisis, rendering 3.9 million people in need of assistance and protection – an increase of 700,000 since the beginning of the year, the UN said on Thursday.",Mali,Africa,Africa,31,0.339,0.661,0.0,-0.6249,0.69283617,0.29808962,0.009074227,negative,negative
North Korea missile tests ‘deeply troubling’: senior UN official,https://news.un.org/en/story/2019/12/1053281,2019-12-11 12:00:00+00:00,Asia Pacific,"Recent developments concerning North Korea’s nuclear and ballistic missile programmes are “deeply troubling”, the UN’s Assistant Secretary-General for the Middle East, Asia and the Pacific said on Wednesday, briefed the Security Council.",North Korea,Asia Pacific,Asia Pacific,32,0.0,1.0,0.0,0.0,0.5402924,0.44702643,0.012681188,neutral,negative
Aung San Suu Kyi appears at ICJ as UN rights expert urges greater protection for Myanmar activists,https://news.un.org/en/story/2019/12/1053121,2019-12-10 12:00:00+00:00,Asia Pacific,Authorities in Myanmar and social media companies are being urged to take greater action to protect activists in the south-east Asian country who are fighting for justice and accountability for crimes committed against the minority Rohingya population in 2016 and 2017.,Myanmar,Asia Pacific,Asia Pacific,33,0.0,0.865,0.135,0.3612,0.033331152,0.9116422,0.05502663,positive,neutral
"Denouncing attacks against Baghdad protesters, UN warns ‘violence risks placing Iraq on dangerous trajectory’",https://news.un.org/en/story/2019/12/1053011,2019-12-07 12:00:00+00:00,Middle East,"The top UN official in Iraq has strongly condemned the shooting of unarmed protesters in Baghdad on Friday night, which left a high number of deaths and injuries among innocent citizens, calling for the perpetrators to be “identified and brought to justice without delay”.",Iraq,Middle East,Middle East,34,0.559,0.441,0.0,-0.8555,0.7548879,0.23972873,0.0053833867,negative,negative
UN evaluates progress in improving peacekeeping performance,https://news.un.org/en/story/2019/12/1052941,2019-12-06 12:00:00+00:00,Global,"The international community on Friday took stock of action to improve UN peacekeeping in line with a Security Council resolution aimed at enhancing performance at all levels, both at Headquarters in New York and in the field.",Unknown,Unknown,Global,35,0.0,0.317,0.683,0.8225,0.042900175,0.81917274,0.13792716,positive,neutral
"South Sudan: UN calls for end to inter-communal clashes, attacks against aid workers",https://news.un.org/en/story/2019/12/1052701,2019-12-03 12:00:00+00:00,Africa,"Peacekeepers have been sent to the northern Lakes region in South Sudan in a bid to deter further violence between communities there, the UN Mission in the country, UNMISS, said on Tuesday.",South Sudan,Africa,Africa,36,0.195,0.805,0.0,-0.4404,0.5119645,0.47725263,0.010782866,negative,negative
"Protests and civil unrest show ‘renewed sense of patriotism’ in Iraq, UN envoy tells Security Council",https://news.un.org/en/story/2019/12/1052641,2019-12-03 12:00:00+00:00,Middle East,"After decades of sectarian strife and conflict, “a renewed sense of patriotism has taken hold”, the head of the UN Assistance Mission for Iraq (UNAMI) told the Security Council on Tuesday.",Iraq,Middle East,Middle East,37,0.104,0.765,0.131,0.128,0.27362245,0.68707293,0.03930462,positive,neutral
‘Continuing deterioration’ leaves Mali facing critical security level: UN expert,https://news.un.org/en/story/2019/12/1052531,2019-12-02 12:00:00+00:00,Africa,"Security in Mali has become critical, with unprecedented incidents of communal violence and increasingly more deadly terror attacks, reported a UN human rights expert on Monday, following a 10-day visit to the country.",Mali,Africa,Africa,38,0.181,0.63,0.189,0.0258,0.7052049,0.2872907,0.007504398,neutral,negative
FROM THE FIELD: India’s plastic waste revolution,https://news.un.org/en/story/2019/12/1052551,2019-12-02 12:00:00+00:00,Asia Pacific,"The recycling of plastic waste in India is boosting the incomes of impoverished women and helping build roads and fire cement furnaces, thanks to support from the United Nations Development Programme (UNDP).",India,Asia Pacific,Asia Pacific,39,0.318,0.682,0.0,-0.4215,0.42060813,0.5321074,0.047284465,negative,neutral
Political solution ‘long overdue’ to protect the children of eastern Ukraine,https://news.un.org/en/story/2019/12/1052521,2019-12-02 12:00:00+00:00,Europe,"Nearly half a million children in eastern Ukraine continue to face “grave risks” to their physical health and psychological well-being, the UN Children’s Fund (UNICEF) said on Monday.",UA,Europe,Europe,40,0.0,0.647,0.353,0.5994,0.20853189,0.7156761,0.075792,positive,neutral
"Friday’s Daily Brief: violence in DR Congo, protester deaths in Iraq, human rights in Colombia, climate change conference, ‘high human cost’ of Ecuador unrest",https://news.un.org/en/story/2019/11/1052471,2019-11-29 12:00:00+00:00,,A recap of Friday’s stories in brief: attacks on communities in an Ebola outbreak hotspot in eastern DRC sparks a humanitarian crisis; Guterres expresses concerns at continued protester deaths in Iraq; UN-appointed panel raises concerns about violence against indigenous rights defenders in Colombia; 5 things you need to know about COP25; UN rights chief urges dialogue to ease Ecuador unrest.,CD,Africa,Africa,41,0.151,0.849,0.0,-0.6249,0.6859936,0.30340326,0.010603088,negative,negative
Iraq: UN ‘deeply concerned’ at continued protester deaths,https://news.un.org/en/story/2019/11/1052461,2019-11-29 12:00:00+00:00,Middle East,UN chief António Guterres has expressed deep concern over reports of the continued use of live ammunition against demonstrators in Iraq.,Iraq,Middle East,Middle East,42,0.0,1.0,0.0,0.0,0.64812154,0.34277156,0.00910688,neutral,negative
Armed groups kill Ebola health workers in eastern DR Congo,https://news.un.org/en/story/2019/11/1052421,2019-11-28 12:00:00+00:00,Africa,"Deadly night-time attacks by armed groups have once again claimed the lives of frontline healthworkers helping to confront the deadly Ebola virus in eastern Democratic Republic of the Congo (DRC), the head of the World Health Organization (WHO) said on Thursday.",CD,Africa,Africa,43,0.343,0.657,0.0,-0.6908,0.8958803,0.101025835,0.0030938685,negative,negative
"Wednesday’s Daily Brief: Afghan child abuse, DR Congo measles deaths, Palestinian solidarity",https://news.un.org/en/story/2019/11/1052371,2019-11-27 12:00:00+00:00,Global,A recap of Wednesday’s stories in brief: UN Afghan Mission calls for probe into school paedophile ring; thousands of children dying from measles in DRC; UN reaffirms solidarity with Palestinians; migrants send billions back home; trust and security “essential” in digital space; and FAO recommends switch to traditional diets.,Palestine,Middle East,Global,44,0.256,0.61,0.134,-0.4588,0.5180765,0.4671032,0.014820302,negative,negative
UN commemorates International Day of Solidarity with the Palestinian People,https://news.un.org/en/story/2019/11/1052351,2019-11-27 12:00:00+00:00,Middle East,"The United Nations has underlined its unwavering commitment to the Palestinian people in their ongoing struggle to achieve self-determination, independence and sovereignty.",Palestine,Middle East,Middle East,45,0.0,0.804,0.196,0.296,0.00419039,0.36960843,0.6262012,positive,positive
UN working to prevent attacks on civilians in eastern DR Congo,https://news.un.org/en/story/2019/11/1052281,2019-11-26 12:00:00+00:00,Africa,"Peacekeepers from the UN Mission in the Democratic Republic of the Congo (DRC) were conducting extensive patrols in the east of the country on Tuesday, one day after demonstrators set fire to buildings to protest lack of civilian protection in the face of attacks by armed groups.",CD,Africa,Africa,46,0.223,0.692,0.085,-0.4215,0.30413467,0.6742873,0.021578042,negative,neutral
Courage of terrorism survivors underlines ‘urgency’ of UN Investigative Team’s work in Iraq,https://news.un.org/en/story/2019/11/1052261,2019-11-26 12:00:00+00:00,Middle East,"The leader of the special UN Investigation Team probing crimes committed by ISIL terrorists in Iraq, said on Tuesday that the courage being demonstrated by survivors coming forward “serves to underline the urgency” they need to carry on with their work.",Iraq,Middle East,Middle East,47,0.245,0.585,0.17,-0.34,0.09140749,0.8372751,0.07131744,negative,neutral
"Guterres underscores UN role in achieving a free, secure Internet",https://news.un.org/en/story/2019/11/1052241,2019-11-26 12:00:00+00:00,Global,"Unless countries work together to address gaps in digital access, as well as related social and political divisions, this generation will be remembered as the one that “ruined the early promise of the Internet”, the UN Secretary-General has warned.",Unknown,Unknown,Global,48,0.0,0.551,0.449,0.6908,0.02098301,0.6383482,0.34066874,positive,neutral
UN chief hails ‘positive developments’ towards ending political crisis in Bolivia,https://news.un.org/en/story/2019/11/1052201,2019-11-26 12:00:00+00:00,Americas,UN Secretary-General António Guterres has welcomed recent steps towards a peaceful resolution to the political turmoil in Bolivia.,Bolivia,Americas,Americas,49,0.291,0.709,0.0,-0.6249,0.009682346,0.41787192,0.5724457,negative,positive
Guterres holds ‘focused and frank’ informal discussions over future of Cyprus,https://news.un.org/en/story/2019/11/1052181,2019-11-25 12:00:00+00:00,Europe,The UN Secretary-General held “focused and frank” informal talks with the leaders of the Greek and Turkish Cypriot communities on Monday in order to “take stock of efforts” to finally reach a settlement over the divided Mediterranean island.,Cyprus,Middle East,Europe,50,0.0,1.0,0.0,0.0,0.021076208,0.86945003,0.109473765,neutral,neutral
"Monday’s Daily Brief: Colombia marches, major mine action summit, violence against women a barrier to peace, South Sudan update",https://news.un.org/en/story/2019/11/1052161,2019-11-25 12:00:00+00:00,Americas,"A recap of Monday’s stories in brief: Guterres holds “focused and frank” informal talks over Cyprus, responds to Colombia protests; Violence targeting women impedes peace; UN Mission, community condemn South Sudan violence; UN weather watchdog sounds climate alarm; Norway hosts anti-landmine summit.",Colombia,Americas,Americas,51,0.232,0.622,0.145,-0.2732,0.4452102,0.5355103,0.019279538,negative,neutral
UN mission in DR Congo appeals for calm as violent protests continue,https://news.un.org/en/story/2019/11/1052151,2019-11-25 12:00:00+00:00,,"The head of the UN peacekeeping mission in the Democratic Republic of the Congo (DRC) has met with national authorities in the wake of an attack against its headquarters in Beni on Monday, which left the building badly damaged.",CD,Africa,Africa,52,0.339,0.526,0.135,-0.5423,0.45147493,0.5296291,0.018895924,negative,neutral
"UN Mission, community leaders, condemn South Sudan violence which left two dead at camp",https://news.un.org/en/story/2019/11/1052121,2019-11-25 12:00:00+00:00,Africa,"Community leaders issued an apology on Monday after rioting on 21 November by “drunken youth” within a UN Protection of Civilians site run by UNMISS in South Sudan, left two dead and eight UN personnel injured, including five police officers.",South Sudan,Africa,Africa,53,0.5,0.5,0.0,-0.9001,0.73729163,0.25734764,0.0053606676,negative,negative
UN condemns deadly attack on one of its vehicles in Afghan capital,https://news.un.org/en/story/2019/11/1052091,2019-11-24 12:00:00+00:00,Middle East,"A UN worker was killed and two people were injured when their vehicle was attacked in the Afghan capital, Kabul, on Sunday.",Afghanistan,Asia Pacific,Middle East,54,0.39,0.61,0.0,-0.7506,0.7473932,0.24777393,0.0048329663,negative,negative
Syrian Constitutional Committee a ‘sign of hope’: UN envoy tells Security Council,https://news.un.org/en/story/2019/11/1052051,2019-11-22 12:00:00+00:00,Middle East,"The launch of the Syrian Constitutional Committee could be a “door-opener” to finally providing a solution to the country’s brutal conflict, UN Special Envoy Geir Pedersen said on Friday in a briefing to the Security Council.",SY,Middle East,Middle East,55,0.0,0.806,0.194,0.34,0.0147325685,0.71043766,0.27482972,positive,neutral
"Friday’s Daily Brief: DRC Ebola concerns, Yemen peace hopes, more migrant boats leave Libya",https://news.un.org/en/story/2019/11/1052031,2019-11-22 12:00:00+00:00,Global,"A recap of Friday’s stories in brief: WHO raises fresh Ebola concerns, UN envoy raises hopes of Yemen political settlement, WFP makes urgent Venezuela appeal, hundreds of migrants discovered in boats off Libya coast.",YE,Middle East,Global,56,0.078,0.586,0.336,0.7037,0.21816076,0.74563926,0.036200028,positive,neutral
"‘Signs of hope’ toward a political settlement in Yemen, UN special envoy tells Security Council",https://news.un.org/en/story/2019/11/1052001,2019-11-22 12:00:00+00:00,Middle East,"The momentum to reach a political settlement in Yemen “has been building”, the United Nations Special Envoy to the country told the Security Council on Friday, attributing the positive development to compromises on “a range of issues”.",YE,Middle East,Middle East,57,0.0,0.702,0.298,0.6249,0.0060617244,0.5884752,0.405463,positive,neutral
Ebola in DR Congo: New transmission chain risks reversing major gains,https://news.un.org/en/story/2019/11/1051961,2019-11-22 12:00:00+00:00,Africa,"Amid multiple deadly attacks on civilians by armed groups in the eastern Democratic Republic of the Congo (DRC), an Ebola death “unlinked to any chain of transmission” risks reversing major gains against the epidemic, which is now down to just a handful of cases, a top UN medic said on Friday.",CD,Africa,Africa,58,0.156,0.667,0.178,0.0772,0.4473915,0.5227745,0.029834013,positive,neutral
"Thursday’s Daily Brief: Deadly Syria violence, risks of working at sea, poor health in jail, concern over ISIL suspect, and her child",https://news.un.org/en/story/2019/11/1051931,2019-11-21 12:00:00+00:00,,A recap of Thursday’s stories in brief: Syria’s violence continues to strike children; governments must do more for human rights in business; poor health in Europe’s prisons; rights experts’ concern over Irish ISIL bride and her child in Turkey; Fishing workers face huge risks at sea.,SY,Middle East,Middle East,59,0.39,0.61,0.0,-0.8885,0.8379722,0.15718965,0.0048381784,negative,negative
Political consensus critical ahead of Somalia election: UN mission chief,https://news.un.org/en/story/2019/11/1051901,2019-11-21 12:00:00+00:00,,"With Somalia scheduled to hold “one-person, one-vote” elections next year, leaders must act now to break the “stalemate” between the central government and federal member states, the top UN official in the country told the Security Council on Thursday.",Somalia,Africa,Africa,60,0.204,0.796,0.0,-0.3182,0.037745446,0.8997735,0.06248101,negative,neutral
UN experts urge Turkey to repatriate Irish woman associated with terror group,https://news.un.org/en/story/2019/11/1051881,2019-11-21 12:00:00+00:00,Middle East,"Turkey must ensure that an Irish woman and her infant daughter who are being held in custody there are repatriated, independent UN experts said in a statement released on Thursday. The woman, Lisa Smith, has been described in press reports as a supporter of the ISIL terror group, and former member of the Irish military.",Unknown,Unknown,Middle East,61,0.236,0.764,0.0,-0.5267,0.46850204,0.52413076,0.007367191,negative,neutral
"Missile strike kills at least 12 civilians, including children, in Syria’s Idlib: UN humanitarians",https://news.un.org/en/story/2019/11/1051841,2019-11-21 12:00:00+00:00,Middle East,"Violence in Syria continues to kill and maim civilians with reports that missiles fired into settlements for people fleeing conflict in the country’s northwest on Wednesday night, killed at least 12 people and wounded dozens more, including children, UN humanitarians said on Thursday.",SY,Middle East,Middle East,62,0.294,0.706,0.0,-0.6124,0.94581425,0.051769532,0.0024162242,negative,negative
"Serious concerns over Sahel, require ‘urgent action’: Senior UN Africa official",https://news.un.org/en/story/2019/11/1051831,2019-11-20 12:00:00+00:00,Africa,"The situation in Africa’s Sahel region continues to be “of serious concern and urgent action is needed”, a high-level United Nations official told the Security Council on Wednesday, attributing a rising number of attacks to terrorist armed groups.",Unknown,Africa,Africa,63,0.115,0.885,0.0,-0.0772,0.2198347,0.7512808,0.028884511,negative,neutral
"Israeli settlements remain ‘flagrant violation’ of international law, UN envoy tells Security Council",https://news.un.org/en/story/2019/11/1051781,2019-11-20 12:00:00+00:00,Middle East,"Regardless of any national policy declarations, Israeli settlement activities are “a flagrant violation under international law”, the UN Special Coordinator for the Middle East Peace Process spelled out to the Security Council on Wednesday.",IL,Middle East,Middle East,64,0.0,0.833,0.167,0.34,0.72995293,0.2641777,0.005869404,positive,negative
UN strengthens ties with Eurasia regional body to tackle terrorism and crime,https://news.un.org/en/story/2019/11/1051751,2019-11-19 12:00:00+00:00,Asia Pacific,"Improving understanding of the nexus between terrorism, transnational organized crime and drug trafficking is essential, UN Secretary-General António Guterres said on Tuesday in his address to a high-level meeting involving the Shanghai Cooperation Organization (SCO), a leading player in diplomacy in Eurasia.",Unknown,Unknown,Asia Pacific,65,0.403,0.448,0.149,-0.7269,0.0648039,0.83561826,0.09957778,negative,neutral
